State,Action 0 (Stand),Action 1 (Hit),Action 2 (Double),Best Action
"(16, 5, 0)",1.0,0.0,0.0,Stand
"(16, 6, 0)",1.0,0.0,0.0,Stand
"(16, 7, 0)",0.0,1.0,0.0,Hit
"(16, 8, 0)",0.0,1.0,0.0,Hit
"(16, 9, 0)",0.0,1.0,0.0,Hit
"(16, 10, 0)",0.0,1.0,0.0,Hit
"(16, 11, 0)",0.0,1.0,0.0,Hit
"(17, 2, 0)",1.0,0.0,0.0,Stand
"(17, 3, 0)",1.0,0.0,0.0,Stand
"(17, 4, 0)",1.0,0.0,0.0,Stand
"(17, 5, 0)",1.0,0.0,0.0,Stand
"(17, 6, 0)",1.0,0.0,0.0,Stand
"(17, 7, 0)",1.0,0.0,0.0,Stand
"(17, 8, 0)",1.0,0.0,0.0,Stand
"(17, 9, 0)",1.0,0.0,0.0,Stand
"(17, 10, 0)",1.0,0.0,0.0,Stand
"(17, 11, 0)",1.0,0.0,0.0,Stand
"(18, 2, 0)",1.0,0.0,0.0,Stand
"(18, 3, 0)",1.0,0.0,0.0,Stand
"(18, 4, 0)",1.0,0.0,0.0,Stand
"(18, 5, 0)",1.0,0.0,0.0,Stand
"(18, 6, 0)",1.0,0.0,0.0,Stand
"(18, 7, 0)",1.0,0.0,0.0,Stand
"(18, 8, 0)",1.0,0.0,0.0,Stand
"(18, 9, 0)",1.0,0.0,0.0,Stand
"(18, 10, 0)",1.0,0.0,0.0,Stand
"(18, 11, 0)",1.0,0.0,0.0,Stand
"(19, 2, 0)",1.0,0.0,0.0,Stand
"(19, 3, 0)",1.0,0.0,0.0,Stand
"(19, 4, 0)",1.0,0.0,0.0,Stand
"(19, 5, 0)",1.0,0.0,0.0,Stand
"(19, 6, 0)",1.0,0.0,0.0,Stand
"(19, 7, 0)",1.0,0.0,0.0,Stand
"(19, 8, 0)",1.0,0.0,0.0,Stand
"(19, 9, 0)",1.0,0.0,0.0,Stand
"(19, 10, 0)",1.0,0.0,0.0,Stand
"(19, 11, 0)",1.0,0.0,0.0,Stand
"(20, 2, 0)",1.0,0.0,0.0,Stand
"(20, 3, 0)",1.0,0.0,0.0,Stand
"(20, 4, 0)",1.0,0.0,0.0,Stand
"(20, 5, 0)",1.0,0.0,0.0,Stand
"(20, 6, 0)",1.0,0.0,0.0,Stand
"(20, 7, 0)",1.0,0.0,0.0,Stand
"(20, 8, 0)",1.0,0.0,0.0,Stand
"(20, 9, 0)",1.0,0.0,0.0,Stand
"(20, 10, 0)",1.0,0.0,0.0,Stand
"(20, 11, 0)",1.0,0.0,0.0,Stand
"(21, 2, 0)",1.0,0.0,0.0,Stand
"(21, 3, 0)",1.0,0.0,0.0,Stand
"(21, 4, 0)",1.0,0.0,0.0,Stand
"(21, 5, 0)",1.0,0.0,0.0,Stand
"(21, 6, 0)",1.0,0.0,0.0,Stand
"(21, 7, 0)",1.0,0.0,0.0,Stand
"(21, 8, 0)",1.0,0.0,0.0,Stand
"(21, 9, 0)",1.0,0.0,0.0,Stand
"(21, 10, 0)",1.0,0.0,0.0,Stand
"(21, 11, 0)",1.0,0.0,0.0,Stand
"(12, 2, 1)",0.0,1.0,0.0,Hit
"(12, 3, 1)",0.0,1.0,0.0,Hit
"(12, 4, 1)",0.0,1.0,0.0,Hit
"(12, 5, 1)",0.0,1.0,0.0,Hit
