State,Action 0 (Stand),Action 1 (Hit),Best Action
"(15, 9, 1)",-0.30807466507452685,-0.11571217829688135,Hit
"(15, 10, 1)",-0.32628651065669045,-0.16182906368812794,Hit
"(15, 11, 1)",-0.11784445976335242,-0.11747701392642258,Hit
"(16, 2, 1)",-0.17107254802204092,-0.07079772725331497,Hit
"(16, 3, 1)",-0.06003410899330425,-0.034095461955722176,Hit
"(16, 4, 1)",-0.05520902636654303,0.04024029728680228,Hit
"(16, 5, 1)",0.003368911826123054,0.04149233977986546,Hit
"(16, 6, 1)",-0.11297519565473599,0.07539114282716841,Hit
"(16, 7, 1)",-0.24466146147763124,-0.06012858351078881,Hit
"(16, 8, 1)",-0.15282509834625962,-0.10298537680662585,Hit
"(16, 9, 1)",-0.15224023876709614,-0.14827213742112985,Hit
"(16, 10, 1)",-0.26663067460198786,-0.18990087084824742,Hit
"(16, 11, 1)",-0.16876587796884646,-0.16706394078168588,Hit
"(17, 2, 1)",-0.07606738761360625,-0.05538445730434309,Hit
"(17, 3, 1)",-0.15229512489982186,0.007002725251230457,Hit
"(17, 4, 1)",-0.01744289223035151,-0.025022079875868714,Stand
"(17, 5, 1)",-0.06408651507317867,0.06038185737689782,Hit
"(17, 6, 1)",-0.10734984538268796,0.0878500350756192,Hit
"(17, 7, 1)",-0.0356961235115837,0.014888858226767065,Hit
"(17, 8, 1)",-0.11356230222872724,-0.07767925079360932,Hit
"(17, 9, 1)",-0.22483229835680507,-0.14545511859597582,Hit
"(17, 10, 1)",-0.3076828860569264,-0.18801266438821354,Hit
"(17, 11, 1)",-0.16430491832044733,-0.16401210984569498,Hit
"(18, 2, 1)",0.10456840909089656,0.025623598566985283,Stand
"(18, 3, 1)",-0.1295309824475722,0.07116824359073234,Hit
"(18, 4, 1)",0.15574110169330418,0.006587896617146295,Stand
"(18, 5, 1)",0.18891514139925103,0.016094533159629568,Stand
"(18, 6, 1)",0.26683956242428847,0.012075430349823404,Stand
"(18, 7, 1)",0.389900499432995,0.040544123633082484,Stand
"(18, 8, 1)",0.07322356165498674,-0.020137573464546542,Stand
"(18, 9, 1)",-0.1244648619553942,-0.11803779137411433,Hit
"(18, 10, 1)",-0.1882502136542234,-0.1348659502714049,Hit
"(18, 11, 1)",-0.13098729432510037,-0.09737662470293292,Hit
"(19, 2, 1)",0.39263276401767044,0.04909335798771731,Stand
"(19, 3, 1)",0.3889591872130587,0.07419032783926349,Stand
"(19, 4, 1)",0.4267074783110583,0.05880233083052881,Stand
"(19, 5, 1)",0.4371317996599819,0.06464234663364868,Stand
"(19, 6, 1)",0.44412925668941927,0.03270124863003797,Stand
"(19, 7, 1)",0.5889589971253314,0.021515989845980382,Stand
"(19, 8, 1)",0.4980253505046496,0.03854521444642418,Stand
"(19, 9, 1)",0.26975172263950287,0.014598841198394417,Stand
"(19, 10, 1)",0.09262076593662051,-0.12866195520693538,Stand
"(19, 11, 1)",0.23657235954464576,0.01594169695231308,Stand
"(20, 2, 1)",0.5903743909588912,-0.029878518558045186,Stand
"(20, 3, 1)",0.6664206167398242,-0.06327700269929949,Stand
"(20, 4, 1)",0.6420429721877667,-0.010629140025576338,Stand
"(20, 5, 1)",0.6466938366482583,-0.0037169345435269186,Stand
"(20, 6, 1)",0.6358814196416401,0.02376211119525813,Stand
"(20, 7, 1)",0.7676326588452376,0.024050368675923438,Stand
"(20, 8, 1)",0.7902880821715178,-0.013633675963671613,Stand
"(20, 9, 1)",0.7708206040408851,-0.0011000513222676894,Stand
"(20, 10, 1)",0.5545164395589124,0.063465614854937,Stand
"(20, 11, 1)",0.6444983123314172,0.007538463314400592,Stand
"(21, 2, 1)",0.7904377389318864,-0.02098225690780445,Stand
"(21, 3, 1)",0.8641402922279786,-0.04915759348791743,Stand
"(21, 4, 1)",0.8148866164803121,-0.09987644286556907,Stand
"(21, 5, 1)",0.8113691809613599,-0.03903026032848915,Stand
"(21, 6, 1)",0.8090915168644455,-0.04985145840695868,Stand
"(21, 7, 1)",0.8363612305971868,-0.03382243248895373,Stand
"(21, 8, 1)",0.8473850933824002,-0.11096091659359827,Stand
"(21, 9, 1)",0.860826620925998,-0.00404643053699379,Stand
"(21, 10, 1)",0.960844747495752,-0.0007036849225802895,Stand
"(21, 11, 1)",0.810053780473069,-0.0898638842460127,Stand
